track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,mode,bpm
3dPQuX8Gs42Y7b454ybpMR,0.0039,0.743,0.446,0.118,0.337,-7.807,0.0683,0.278,0,123.596
7e89621JPkKaeDSTQ3avtg,0.181,0.596,0.605,0.000331,0.0863,-12.145,0.0255,0.886,1,97.798
2tznHmp70DxMyr2XhWLOW0,0.0807,0.636,0.676,0.0,0.0831,-3.442,0.0263,0.273,1,113.98
1qRA5BS78u3gME0loMl9AA,0.406,0.653,0.519,0.0209,0.101,-10.164,0.0497,0.822,1,98.883
5MAK1nd8R6PWnle1Q1WJvh,0.00713,0.509,0.448,0.0137,0.244,-7.552,0.0357,0.221,0,156.909
5EWPGh7jbTNO2wakv8LjUI,0.0738,0.249,0.834,9.48e-05,0.0924,-8.21,0.0577,0.338,1,118.223
2aoo2jlRnM3A0NyLQqMN2f,0.00255,0.438,0.805,5.69e-05,0.0842,-6.237,0.0624,0.564,1,113.253
70YvYr2hGlS01bKRIho1HM,0.00249,0.545,0.64,0.0304,0.196,-9.937,0.224,0.606,0,80.544
7vguMCv8uVuZLiQJ156u3Z,0.0162,0.573,0.539,1.16e-05,0.105,-6.091,0.0322,0.39,0,75.012
6zC0mpGYwbNTpk9SKwh08f,0.649,0.572,0.214,0.129,0.125,-15.625,0.0293,0.485,1,95.542
6GomT970rCOkKAyyrwJeZi,0.0169,0.848,0.821,0.000403,0.0962,-5.408,0.0527,0.249,0,125.051
4ekDggjElGJX9kNSOtnbVf,0.00412,0.723,0.57,0.00183,0.0862,-8.589,0.0429,0.575,0,123.979
5T4lERmPqhO2ukZoGJ5sSr,0.0276,0.843,0.713,0.76,0.0961,-5.487,0.0851,0.298,1,123.983
0XMl0fVTh3PyPlwyJTn33n,0.101,0.711,0.722,1.26e-05,0.628,-8.438,0.202,0.398,1,120.058
5GCz9BOkt17aI6ZOR3EiUl,0.0364,0.6,0.869,0.0,0.287,-5.565,0.315,0.786,0,85.409
5Fyy3M7hzyp1LVymB5jP2O,0.0319,0.736,0.816,0.0,0.202,-5.157,0.0732,0.466,1,126.02
1JyQVDd48BprQrdEOpmodT,0.0162,0.813,0.849,0.000108,0.0765,-4.719,0.0617,0.535,1,124.018
6l6RuG9usSZXu2s0NsyLWe,0.00651,0.753,0.619,0.611,0.282,-9.708,0.0572,0.886,0,125.983
29ZrGQad8homm9iN5mZQlp,0.408,0.457,0.633,0.0,0.345,-6.056,0.0315,0.224,1,137.956
0bMAWV9DDN2fllpvCtpzWl,0.0206,0.423,0.74,0.0,0.523,-5.309,0.0344,0.166,0,135.906
0Ja4hLKiUSw01E01pJ1yGr,0.0121,0.673,0.808,0.878,0.037,-6.183,0.0491,0.303,1,130.041
7kXmJwrZGIhDaLT9sNo3ut,0.119,0.632,0.92,0.508,0.114,-4.976,0.0531,0.363,1,127.001
4bz7uB4edifWKJXSDxwHcs,0.0141,0.745,0.714,0.0222,0.363,-3.681,0.0751,0.365,1,104.003
79CUrU5o2KAVDTNm4x3eGU,0.00335,0.545,0.948,0.364,0.226,-5.098,0.0779,0.355,1,141.507
48vDCZIRmrFO33fH4QU4ij,0.00306,0.604,0.995,0.626,0.109,-3.641,0.164,0.262,0,136.216
6cYJBIE9FC1QAoPw5EhdLA,0.00225,0.652,0.944,0.276,0.103,-4.804,0.0515,0.454,1,147.078
2cNjgoSh1TBHFQIhfzRJUE,0.00957,0.751,0.897,2.88e-05,0.329,-3.598,0.0468,0.482,1,119.97
144adL7pGHEWRwute2wxzZ,0.000941,0.545,0.953,0.117,0.281,-5.172,0.0441,0.558,1,140.002
5xcunlfaZvD9BDQsLONI7A,0.0953,0.577,0.729,0.928,0.184,-14.376,0.0319,0.177,0,126.988
2Jb5Qyy37fdGOTJ6iPYq1y,0.00662,0.642,0.996,0.75,0.181,-4.343,0.0557,0.161,0,144.993
62ke5zFUJN6RvtXZgVH0F8,0.0958,0.566,0.885,9.97e-05,0.334,-4.528,0.0818,0.304,1,90.99
0gplL1WMoJ6iYaPgMCL0gX,0.578,0.604,0.366,0.0,0.133,-7.519,0.0282,0.13,1,141.981
3Kkjo3cT83cw09VJyrLNwX,0.091,0.534,0.725,0.0,0.0264,-3.906,0.046,0.55,1,88.098
46IZ0fSY2mpAiktS3KOqds,0.578,0.604,0.366,0.0,0.133,-7.519,0.0282,0.13,1,141.981
6dGnYIeXmHdcikdzNNDMm2,0.0339,0.557,0.54,0.00248,0.179,-10.484,0.0347,0.394,1,129.171
3bNv3VuUOKgrf5hu3YcuRo,0.893,0.556,0.319,0.0,0.0996,-8.251,0.0281,0.294,1,135.187
4OSBTYWVwsQhGLF9NHvIbR,0.138,0.73,0.769,0.0,0.0473,-5.114,0.0298,0.507,1,104.948
4IhTXiZLKATmwhMZIb1GQN,0.981,0.44,0.04,0.465,0.111,-16.887,0.0322,0.249,1,135.965
3FAclTFfvUuQYnEsptbK8w,0.134,0.403,0.422,2.05e-05,0.0861,-13.964,0.0373,0.378,0,122.728
3di5hcvxxciiqwMH1jarhY,0.00408,0.603,0.67,1.68e-06,0.112,-3.882,0.0249,0.446,0,107.993
172oAbLGpgeCsukno7oBRe,0.942,0.319,0.198,8.65e-06,0.0817,-11.611,0.0402,0.287,1,62.925
11IqNbLOD4s4nVYSuEttFR,0.723,0.646,0.452,0.0,0.117,-8.152,0.0307,0.266,1,94.566
6akVETVeqqPVvuBS5e0EB1,0.63,0.615,0.535,0.0,0.0907,-6.847,0.032,0.293,0,130.025
6flgMTTqhbJSNryAPCYcvA,0.574,0.411,0.482,0.0,0.227,-8.081,0.0475,0.261,1,172.079
2rbbJ2xZFJa2DriR5h0TBS,0.166,0.368,0.754,0.0,0.112,-4.893,0.317,0.522,1,170.029
2lMVTk3I232dE7jnkufOSt,0.503,0.679,0.563,0.0,0.102,-7.009,0.0334,0.631,1,107.014
1ZrnCyms7CBYsCvkkVIkt8,0.393,0.491,0.533,0.0,0.0944,-7.594,0.0473,0.214,1,149.856
25pWemriUQVrZ3yIiS2IBf,0.865,0.6,0.468,3.13e-06,0.104,-9.126,0.0335,0.203,1,123.987
77uktQePd9IdeMPVWlu1cO,0.69,0.311,0.311,0.0,0.195,-11.516,0.0323,0.369,1,76.951
2P5Eeh29qJrYa1T27cdL3B,0.716,0.703,0.607,0.0,0.112,-7.823,0.0409,0.819,1,118.973
6WkJ2OK163XXS2oARUC9JM,0.101,0.72,0.741,1.41e-05,0.289,-6.529,0.0287,0.357,0,119.896
4IlqQhaxrGPxmg35YcXXuS,0.0442,0.751,0.727,0.0338,0.1,-9.789,0.0304,0.28,0,119.982
3YXIVMQLRRq2K7kxC7UYx6,0.00531,0.791,0.801,0.189,0.509,-6.344,0.07,0.609,0,124.985
4h4AEqy0iBbjdlbtWvIx5O,0.000161,0.879,0.95,0.806,0.0714,-6.375,0.0746,0.615,0,126.903
796T2ROxTNibXRjVhjSzCa,0.0026,0.718,0.93,0.0176,0.0363,-4.532,0.038,0.697,1,128.736
0vryyKyxCFXT0gg670yNEw,0.0439,0.7,0.725,0.851,0.125,-11.433,0.0492,0.129,0,116.824
6fSdR81YvNG8Wo6i2ytLPR,0.0125,0.829,0.332,0.294,0.0918,-13.837,0.047,0.448,0,128.627
09IT6ZbPsY5EioVEqeyq4j,0.000271,0.878,0.737,0.445,0.11,-7.979,0.0817,0.235,1,123.993
5o97IsOGSYy67xqIxSprpL,0.00737,0.77,0.767,0.000894,0.0716,-6.978,0.0335,0.486,1,119.995
5eFCFpmDbqGqpdOVE9CXCh,0.0111,0.638,0.742,9.45e-05,0.0762,-11.421,0.0485,0.698,1,120.772
5ygDXis42ncn6kYG14lEVG,0.259,0.829,0.886,0.0,0.0559,-1.746,0.112,0.777,1,115.056
6YQ7aPJhk0MGpwoKfFAEbS,0.184,0.941,0.387,2.88e-05,0.157,-11.92,0.0427,0.965,1,125.021
3N6kzbnfpTPB5J9NAGc1rU,0.866,0.696,0.227,1.25e-05,0.0794,-11.763,0.042,0.284,1,87.88
0dF7HP4wDwxCtID3mXpdYX,0.829,0.711,0.396,3e-05,0.119,-11.266,0.0486,0.969,1,199.955
097ftnCPnGHhn93lS0HHlO,0.673,0.459,0.206,0.0,0.294,-9.694,0.0282,0.354,1,160.072
6cKlr2BOXBaqiuaHUY5Zwo,0.586,0.919,0.289,3.19e-06,0.075,-12.244,0.048,0.866,1,100.042
3NEgsdTwk3tIjt6x4d2VzE,0.822,0.715,0.217,0.0,0.102,-10.499,0.0319,0.509,1,119.902
6tPA07JAS9p9mEOVhLdFJp,0.212,0.931,0.413,0.0,0.112,-11.014,0.0485,0.961,1,96.057
1rNgLcVhVTTKKmHBH8nQlt,0.441,0.908,0.253,0.0,0.115,-10.474,0.0587,0.962,1,131.799
5d22scOOfbrK7GHy3ZTT3s,0.812,0.378,0.352,5.17e-06,0.106,-8.745,0.0354,0.306,1,139.491
3JvKfv6T31zO0ini8iNItO,0.695,0.445,0.537,1.65e-05,0.0944,-8.532,0.04,0.131,0,122.769
0QzuaeCEEOV40Pn7IvKEny,0.845,0.656,0.436,0.0,0.221,-11.141,0.0744,0.196,1,109.239
7ArVzlFsFsQXNseVXmdOyk,0.0903,0.758,0.674,0.0,0.0902,-4.533,0.108,0.424,1,97.977
7D7e6hm2LiNd6nLuJF6K9Q,0.872,0.845,0.398,0.00713,0.159,-15.781,0.268,0.482,1,109.996
5wwPdWKbDEiybmWkZqsGGn,0.198,0.54,0.585,0.0,0.147,-7.563,0.309,0.516,0,100.289
55XrFge2dEZwYzNl128DwN,0.48,0.753,0.355,0.87,0.122,-13.295,0.0898,0.506,0,111.863
2MJz8BxxMsERULatmBikDH,0.777,0.813,0.415,0.0,0.131,-5.926,0.0349,0.667,1,91.921
7es56D0QedGMsK39wl2yFX,0.341,0.667,0.457,0.0,0.114,-6.885,0.439,0.266,0,97.604
47isJpIIO8m7BJEhiFhnaf,0.839,0.456,0.437,0.0,0.218,-11.156,0.0867,0.209,1,108.678
22I3h5AOENlH4CqXJsEbFR,0.095,0.418,0.31,0.0,0.216,-9.869,0.0625,0.131,0,139.614
1BncfTJAWxrsxyT9culBrj,0.934,0.447,0.449,0.961,0.0697,-10.634,0.0376,0.036,1,92.468
3weNRklVDqb4Rr5MhKBR3D,0.961,0.191,0.0582,0.89,0.0941,-25.398,0.0578,0.0454,1,132.614
2agBDIr9MYDUducQPC1sFU,0.987,0.315,0.22,0.943,0.0802,-21.343,0.0514,0.116,1,145.195
2p5THyuNwpJ9c7ex3TN383,0.903,0.304,0.0902,0.907,0.111,-32.824,0.0489,0.318,1,114.487
0Dkibk70FDp6t7eOZNemNQ,0.991,0.231,0.0297,0.878,0.0742,-31.544,0.0579,0.07,1,131.413
5NGtFXVpXSvwunEIGeviY3,0.994,0.468,0.0127,0.937,0.094,-36.856,0.123,0.356,1,72.776
0jOnZhF75V68VsBObWx2XO,0.986,0.169,0.0161,0.86,0.0805,-31.034,0.0442,0.0573,0,128.143
3DNRdudZ2SstnDCVKFdXxG,0.995,0.184,0.00527,0.887,0.173,-37.264,0.0432,0.151,0,170.612
17i5jLpzndlQhbS4SrTd0B,0.89,0.275,0.157,0.842,0.186,-18.752,0.0636,0.304,1,73.289
2m2GJpBjQNNphaCgBeoj7R,0.99,0.324,0.0186,0.934,0.105,-28.248,0.0476,0.126,1,85.297
2vXKRlJBXyOcvZYTdNeckS,0.0933,0.658,0.671,0.000927,0.115,-12.21,0.0363,0.166,1,100.966
6HJiKaPc4LYPczBFGSMBFs,0.00148,0.807,0.835,0.527,0.233,-6.849,0.0631,0.349,0,124.979
7qekEQyGFRim7qNhxzkaLo,0.433,0.494,0.556,0.0,0.0969,-6.348,0.0257,0.325,1,85.986
2odJRoZ0Bx3aHvNa8hpNrD,0.0031,0.497,0.825,0.00496,0.0905,-4.638,0.0821,0.235,0,88.712
3BcEpBfEx2mOyCSJWIHSvu,0.000969,0.424,0.797,0.841,0.234,-2.321,0.0577,0.223,1,179.893
0hp5IJ83YpnglsrvGfIhIN,0.0855,0.581,0.844,0.0,0.224,-6.64,0.0595,0.546,0,93.963
12Ypr3PCVJ2i7Uwz93q1Vl,0.00268,0.748,0.549,0.792,0.196,-5.447,0.065,0.197,0,101.033
0x5iuaeBzKEVT49lJKpRAR,0.147,0.529,0.979,0.811,0.119,-7.062,0.0887,0.088,1,110.018
4hBW3h6FnQNh7NRmyxLLG7,0.00308,0.651,0.889,0.0,0.417,-5.236,0.0694,0.813,1,107.009
4CHDcWhqTsz53Ur9zmvHs8,0.0137,0.714,0.69,1.17e-05,0.13,-5.356,0.0875,0.631,1,123.037
2hhFpD32iXUd4GaCu6T4wn,0.42,0.823,0.731,0.0,0.306,-4.273,0.307,0.876,1,90.302
1ACZpHI5vZ5Ea4xGlkdGWM,0.325,0.927,0.367,0.0,0.132,-7.797,0.382,0.576,1,99.053
0rRboI6IRuGx56Dq3UdYY4,0.169,0.802,0.341,0.0,0.0783,-8.56,0.488,0.849,1,166.01
7MkysLvt3L8UFji2PceoFU,0.203,0.829,0.514,0.000157,0.115,-6.694,0.037,0.397,1,114.955
1TkWsnheqK0gBtvh07BtNX,0.114,0.858,0.697,0.0,0.224,-5.361,0.23,0.364,1,98.013
0Dfctnkk9xIikDKJ06uwzo,0.599,0.828,0.577,0.0,0.0814,-7.656,0.158,0.587,0,86.339
5PEleSkK4p4E1sx3x7cOLt,0.0188,0.615,0.811,0.0,0.196,-4.316,0.144,0.808,1,167.995
5TlAXiBCBwiQnIZUAA4Jkg,0.432,0.684,0.621,0.0,0.607,-8.442,0.362,0.537,0,128.882
4DEcdqqKokU7UAE4wCGQEy,0.432,0.669,0.535,0.0,0.208,-12.36,0.0972,0.739,1,120.071
7lFgli7y2vo7sjgynHZzBP,0.107,0.501,0.796,0.000974,0.539,-4.599,0.104,0.582,1,130.719
3WMj8moIAXJhHsyLaqIIHI,0.555,0.369,0.192,8.35e-06,0.0954,-12.151,0.04,0.148,0,175.212
5uU1uuyaUIBOiiUSQG7Wl3,0.252,0.731,0.85,0.0,0.605,-4.913,0.0336,0.644,1,119.706
40riOy7x9W7GXjyGp4pjAv,0.00574,0.579,0.508,0.000494,0.0575,-9.484,0.027,0.609,1,147.125
2LawezPeJhN4AWuSB0GtAU,0.0664,0.741,0.697,2.28e-05,0.133,-7.028,0.0277,0.774,1,116.109
4686eQ81DEswHa90bcdlC9,0.577,0.582,0.568,0.0,0.105,-7.3,0.0275,0.394,1,121.991
3cBsEDNhFI9E82vPj3kvi3,0.373,0.505,0.657,0.00107,0.126,-5.24,0.0318,0.252,0,196.0
4BP3uh0hFLFRb5cjsgLqDh,0.201,0.64,0.663,0.00806,0.152,-7.516,0.0374,0.663,1,132.77
200x8ONbPfFzByUr3fVz46,0.124,0.607,0.912,0.0,0.332,-3.449,0.0611,0.722,1,134.944
28n8z9IQKyjMPxmvYMBqZa,0.0226,0.608,0.745,6.47e-06,0.0942,-4.13,0.0277,0.464,1,102.025
7e89621JPkKaeDSTQ3avtg,0.181,0.596,0.605,0.000331,0.0863,-12.145,0.0255,0.886,1,97.798
3nqQXoyQOWXiESFLlDF1hG,0.013,0.714,0.472,4.51e-06,0.266,-7.375,0.0864,0.238,1,131.121
4uUG5RXrOk84mYEfFvj3cK,0.00383,0.561,0.965,7.07e-06,0.371,-3.673,0.0343,0.304,0,128.04
5IgjP7X4th6nMNDh4akUHb,0.0635,0.733,0.69,1.18e-06,0.105,-5.529,0.0427,0.31,0,116.992
1xzi1Jcr7mEi9K2RfzLOqS,0.0368,0.78,0.689,9.69e-06,0.0698,-5.668,0.141,0.642,1,115.042
0mBP9X2gPCuapvpZ7TGDk3,0.619,0.881,0.592,1.32e-05,0.0901,-4.898,0.0324,0.719,1,101.058
4C6Uex2ILwJi9sZXRdmqXp,0.0645,0.95,0.891,1.77e-05,0.309,-2.653,0.241,0.912,1,133.01
0hquQWY3xvYqN4qtiquniF,0.0777,0.801,0.601,3.23e-05,0.145,-7.574,0.255,0.74,0,159.969
